"","dyad","indv1","ind2","Estimator","Relatedness","CI2.5","CI97.5"
"315",91,"VE_21","VE_25","lynchli",-0.6293,-1.4119,0.2779
"316",130,"VE_25","VE_30","lynchli",-0.6293,-1.3504,0.4442
"317",109,"VE_23","VE_24","lynchli",-0.6293,-1.551,0.4876
"318",49,"VE_18","VE_19","lynchli",-0.4256,-1.4051,0.3257
"319",114,"VE_23","VE_29","lynchli",-0.5275,-1.2033,0.0639
"320",63,"VE_19","VE_20","lynchli",-0.6293,-1.5383,0.1729
"321",80,"VE_20","VE_25","lynchli",-0.6293,-1.4714,-0.0604
"322",36,"VE_17","VE_20","lynchli",-0.4256,-1.4802,0.3737
"323",24,"VE_16","VE_23","lynchli",-0.6293,-1.3088,0.0763
"324",53,"VE_18","VE_23","lynchli",-0.4256,-1.7062,0.8873
"325",146,"VE_28","VE_31","lynchli",-0.3238,-1.1278,0.4089
"326",83,"VE_20","VE_28","lynchli",-0.4256,-1.2519,0.2946
"327",50,"VE_18","VE_20","lynchli",-0.3238,-1.2993,0.4277
"328",51,"VE_18","VE_21","lynchli",-0.3238,-1.2386,0.267
"329",19,"VE_16","VE_18","lynchli",-0.222,-0.8469,0.5954
"330",134,"VE_26","VE_28","lynchli",-0.4256,-1.2472,0.2754
"331",70,"VE_19","VE_27","lynchli",-0.5275,-1.5458,0.2124
"332",136,"VE_26","VE_30","lynchli",-0.3238,-1.1702,0.3756
"333",103,"VE_22","VE_27","lynchli",-0.5275,-2.0367,0.3098
"334",129,"VE_25","VE_29","lynchli",-0.222,-0.996,0.4585
"335",127,"VE_25","VE_27","lynchli",-0.4256,-1.6557,0.4522
"336",43,"VE_17","VE_27","lynchli",-0.3238,-1.22,0.4818
"337",118,"VE_24","VE_25","lynchli",-0.3238,-1.125,0.3505
"338",87,"VE_20","VE_32","lynchli",-0.5275,-0.9902,-0.1422
"339",126,"VE_25","VE_26","lynchli",-0.222,-0.8083,0.1633
"340",67,"VE_19","VE_24","lynchli",-0.222,-0.9755,0.435
"341",3,"VE_15","VE_18","lynchli",-0.222,-1.0913,0.4281
"342",99,"VE_22","VE_23","lynchli",-0.222,-1.2166,0.5656
"343",55,"VE_18","VE_25","lynchli",-0.222,-1.0424,0.5927
"344",140,"VE_27","VE_29","lynchli",-0.222,-1.0989,0.6283
"345",138,"VE_26","VE_32","lynchli",-0.3238,-0.8198,0.3097
"346",64,"VE_19","VE_21","lynchli",-0.3238,-1.0663,0.4532
"347",150,"VE_29","VE_32","lynchli",-0.1201,-0.7163,0.3494
"348",59,"VE_18","VE_29","lynchli",-0.222,-1.2722,0.5668
"349",73,"VE_19","VE_30","lynchli",-0.222,-1.014,0.5518
"350",79,"VE_20","VE_24","lynchli",-0.222,-1.4587,0.5955
"351",72,"VE_19","VE_29","lynchli",-0.1201,-0.8207,0.6616
"352",5,"VE_15","VE_20","lynchli",-0.3238,-0.9053,0.1861
"353",69,"VE_19","VE_26","lynchli",-0.222,-0.7958,0.2408
"354",148,"VE_29","VE_30","lynchli",-0.222,-0.9982,0.7113
"355",89,"VE_21","VE_23","lynchli",-0.3238,-0.7445,0.2031
"356",128,"VE_25","VE_28","lynchli",-0.1201,-0.9848,0.6572
"357",112,"VE_23","VE_27","lynchli",-0.222,-1.3175,0.4279
"358",94,"VE_21","VE_28","lynchli",-0.1201,-0.8674,0.41
"359",29,"VE_16","VE_28","lynchli",-0.1201,-0.714,0.3912
"360",116,"VE_23","VE_31","lynchli",-0.3238,-1.3431,0.2117
"361",93,"VE_21","VE_27","lynchli",-0.1201,-0.9455,0.3897
"362",34,"VE_17","VE_18","lynchli",-0.1201,-0.8719,0.7461
"363",71,"VE_19","VE_28","lynchli",-0.1201,-0.6954,0.3396
"364",26,"VE_16","VE_25","lynchli",-0.222,-0.6424,0.271
"365",46,"VE_17","VE_30","lynchli",-0.1201,-0.9248,0.5805
"366",152,"VE_30","VE_32","lynchli",-0.1201,-0.6375,0.4329
"367",39,"VE_17","VE_23","lynchli",-0.1201,-0.5797,0.3725
"368",84,"VE_20","VE_29","lynchli",-0.1201,-1.0272,0.7624
"369",81,"VE_20","VE_26","lynchli",-0.1201,-1.0294,0.8084
"370",27,"VE_16","VE_26","lynchli",-0.0183,-1.1038,0.4582
"371",65,"VE_19","VE_22","lynchli",-0.1201,-0.6881,0.412
"372",105,"VE_22","VE_29","lynchli",-0.0183,-0.4864,0.8083
"373",143,"VE_27","VE_32","lynchli",-0.222,-1.0743,0.4352
"374",23,"VE_16","VE_22","lynchli",-0.0183,-0.6603,0.5241
"375",85,"VE_20","VE_30","lynchli",-0.0183,-0.9102,0.773
"376",58,"VE_18","VE_28","lynchli",-0.0183,-0.7491,0.7866
"377",54,"VE_18","VE_24","lynchli",-0.0183,-0.7996,0.7816
"378",60,"VE_18","VE_30","lynchli",-0.0183,-0.8925,0.8913
"379",131,"VE_25","VE_31","lynchli",-0.1201,-0.9779,0.4875
"380",28,"VE_16","VE_27","lynchli",-0.0183,-0.893,0.4774
"381",74,"VE_19","VE_31","lynchli",-0.222,-1.3253,0.4436
"382",119,"VE_24","VE_26","lynchli",-0.1201,-0.9713,0.4367
"383",111,"VE_23","VE_26","lynchli",-0.1201,-0.8727,0.5067
"384",10,"VE_15","VE_25","lynchli",0.0835,-0.5065,0.5468
"385",144,"VE_28","VE_29","lynchli",0.0835,-0.4229,0.6866
"386",38,"VE_17","VE_22","lynchli",0.0835,-0.5205,0.5644
"387",82,"VE_20","VE_27","lynchli",-0.0183,-0.7547,0.5699
"388",125,"VE_24","VE_32","lynchli",-0.0183,-0.6294,0.4922
"389",61,"VE_18","VE_31","lynchli",0.0835,-0.873,0.604
"390",101,"VE_22","VE_25","lynchli",0.0835,-0.71,0.6576
"391",102,"VE_22","VE_26","lynchli",-0.1201,-1.2876,0.5277
"392",35,"VE_17","VE_19","lynchli",0.0835,-0.5432,0.7498
"393",133,"VE_26","VE_27","lynchli",-0.0183,-0.5344,0.7424
"394",4,"VE_15","VE_19","lynchli",-0.1201,-0.3722,0.2756
"395",66,"VE_19","VE_23","lynchli",-0.1201,-0.5649,0.2467
"396",149,"VE_29","VE_31","lynchli",0.0835,-1.0175,0.6122
"397",137,"VE_26","VE_31","lynchli",0.0835,-0.9254,0.6976
"398",88,"VE_21","VE_22","lynchli",0.0835,-0.0715,0.2782
"399",153,"VE_31","VE_32","lynchli",-0.1201,-0.3071,0.1444
"400",44,"VE_17","VE_28","lynchli",0.1853,-0.6079,0.7474
