(1)Parameters in simulations

  SmplSize   NumLoci Constrain KnownAlleleFre
        18         9         1         0

 Number of observed alleles at each locus
  3  4  2  3  3  4  3  2  2

 Allele frequency

 Locus:        1
     127     121     125
  0.8056  0.1667  0.0278

 Locus:        2
     288     286     290     274
  0.7500  0.0833  0.0278  0.1389

 Locus: 3
227 229
0.4722 0.5278

 Locus:        4
     291     307     303
  0.2500  0.4167  0.3333

 Locus:        5
     166     172     160
  0.1111  0.6944  0.1944

 Locus:        6
     257     261     251     249
  0.3056  0.5833  0.0278  0.0833

 Locus:        7
     359     361     355
  0.7222  0.1944  0.0833

 Locus: 8
133 137
0.3333 0.6667

 Locus: 9
247 255
0.7778 0.2222


(2)Point estimate of R for each dyad

Pair,Ind1,Ind2,TrioEst,WEst,LLEst,LREst,REst,QGEst,MEst,LSEst
105,VE_22,VE_29,0.0000,-0.1056,-0.0183,-0.2998,-0.2570,-0.0983,0.0000,0.0000
106,VE_22,VE_30,0.5000,0.3871,0.4908,0.3300,0.2885,0.4798,0.5000,0.0000
107,VE_22,VE_31,0.0000,0.1586,0.1853,-0.1947,-0.0567,0.0270,0.0000,0.0000
108,VE_22,VE_32,0.1528,0.2277,0.1853,0.1328,0.0844,-0.0485,0.2513,0.0000
109,VE_23,VE_24,0.0000,-0.5480,-0.6293,-0.3282,-0.3740,-0.4278,0.0000,0.0000
110,VE_23,VE_25,0.3681,0.3135,0.3890,0.3313,0.5101,0.4017,0.5000,0.0000
111,VE_23,VE_26,0.0641,-0.0264,-0.1201,-0.0137,0.1916,0.0495,0.0806,0.0000
112,VE_23,VE_27,0.0040,-0.1899,-0.2220,0.0017,-0.0576,-0.1218,0.0040,0.0000
113,VE_23,VE_28,0.0000,-0.6884,-0.6293,-0.2864,-0.3834,-0.4634,0.0000,0.0000
114,VE_23,VE_29,0.0000,-0.5133,-0.5275,-0.3365,-0.2824,-0.3970,0.0000,0.0000
115,VE_23,VE_30,0.0000,-0.6732,-0.7311,-0.3540,-0.4536,-0.3990,0.0000,0.0000
116,VE_23,VE_31,0.0000,-0.1698,-0.3238,-0.2862,-0.3692,-0.3244,0.0000,0.0000
117,VE_23,VE_32,0.2773,0.2051,0.2872,0.3926,0.4552,0.1220,0.3885,0.0000
118,VE_24,VE_25,0.0000,-0.3501,-0.3238,-0.3046,-0.0816,-0.1429,0.0000,0.0000
119,VE_24,VE_26,0.0000,-0.0420,-0.1201,-0.2297,-0.3594,-0.1250,0.0000,0.0000
120,VE_24,VE_27,0.0000,-0.7371,-0.7311,-0.4493,-0.5796,-0.6541,0.0000,0.0000
121,VE_24,VE_28,0.3456,0.2850,0.3890,0.2520,0.3565,0.4404,0.4300,0.0000
122,VE_24,VE_29,0.3418,0.4376,0.4908,0.3159,0.1896,0.4886,0.3418,0.0000
123,VE_24,VE_30,0.1932,0.0886,0.0835,0.0651,-0.0168,0.1960,0.3825,0.0000
124,VE_24,VE_31,0.0256,0.1721,0.1853,0.0232,-0.0898,0.0886,0.0257,0.0000
125,VE_24,VE_32,0.0000,0.0025,-0.0183,-0.1427,-0.0544,-0.0951,0.0000,0.0000
126,VE_25,VE_26,0.0000,-0.3416,-0.2220,-0.2104,-0.1306,-0.3171,0.0000,0.0000
127,VE_25,VE_27,0.0468,-0.3525,-0.4256,-0.0729,-0.3496,-0.2381,0.0569,0.0000
128,VE_25,VE_28,0.0794,-0.2096,-0.1201,-0.0338,0.0671,-0.0051,0.1210,0.0000
129,VE_25,VE_29,0.0000,-0.3537,-0.2220,-0.2840,-0.0932,-0.2000,0.0000,0.0000
130,VE_25,VE_30,0.0000,-0.5647,-0.6293,-0.4143,-0.4257,-0.3139,0.0000,0.0000
131,VE_25,VE_31,0.0000,-0.0613,-0.1201,-0.1416,-0.2807,-0.1111,0.0000,0.0000
132,VE_25,VE_32,0.2514,0.2159,0.2872,0.3286,0.2711,0.2030,0.3501,0.0000
133,VE_26,VE_27,0.1614,0.0390,-0.0183,0.1569,0.4084,-0.0125,0.1659,0.0000
134,VE_26,VE_28,0.0000,-0.3663,-0.4256,-0.3433,-0.4621,-0.2857,0.0000,0.0000
135,VE_26,VE_29,0.5000,0.5658,0.5927,0.4851,0.4032,0.5232,0.5000,0.0000
136,VE_26,VE_30,0.0000,-0.3541,-0.3238,-0.3025,-0.4295,-0.2238,0.0000,0.0000
137,VE_26,VE_31,0.0000,0.0650,0.0835,-0.1699,-0.1644,-0.2180,0.0000,0.0000
138,VE_26,VE_32,0.0000,-0.2569,-0.3238,-0.3895,-0.2567,-0.6901,0.0000,0.0000
139,VE_27,VE_28,0.0000,-0.9209,-1.0366,-0.4517,-0.6576,-0.6788,0.0000,0.0000
140,VE_27,VE_29,0.0163,-0.2603,-0.2220,0.0246,0.1115,-0.2273,0.0198,0.0000
141,VE_27,VE_30,0.0000,-0.8346,-0.7311,-0.3858,-0.3467,-0.4293,0.0000,0.0000
142,VE_27,VE_31,0.2693,0.1693,0.2872,0.2893,0.4245,0.2025,0.3553,0.0000
143,VE_27,VE_32,0.0000,-0.0999,-0.2220,-0.1405,-0.2311,-0.3688,0.0000,0.0000
144,VE_28,VE_29,0.0000,-0.0209,0.0835,-0.0890,-0.0464,0.1196,0.0000,0.0000
145,VE_28,VE_30,0.1875,0.2661,0.2872,0.3751,0.2755,0.3986,0.3087,0.0000
146,VE_28,VE_31,0.0000,-0.4087,-0.3238,-0.4849,-0.3753,-0.3012,0.0000,0.0000
147,VE_28,VE_32,0.1812,0.1430,0.1853,0.2238,0.1831,0.0968,0.2176,0.0000
148,VE_29,VE_30,0.0000,-0.2233,-0.2220,-0.2923,-0.4212,-0.1221,0.0000,0.0000
149,VE_29,VE_31,0.0000,0.0617,0.0835,-0.1426,-0.1728,-0.0872,0.0000,0.0000
150,VE_29,VE_32,0.0000,-0.2516,-0.1201,-0.3750,-0.2473,-0.4694,0.0000,0.0000
151,VE_30,VE_31,0.3053,0.3252,0.3890,0.3212,0.3244,0.4842,0.4212,0.0000
152,VE_30,VE_32,0.0000,-0.1227,-0.1201,-0.1289,-0.0451,-0.0946,0.0000,0.0000
153,VE_31,VE_32,0.0000,0.0686,-0.1201,-0.4000,-0.2829,-0.3780,0.0000,0.0000


  Point estimate of Delta8 for each dyad

Pair,Ind1,Ind2,TrioEst,WEst,LREst,MEst
1,VE_15,VE_16,0.0000,2.4094,-0.5942,0.0000
2,VE_15,VE_17,0.2492,2.4300,0.3194,0.2492
3,VE_15,VE_18,0.0000,-8.6699,-0.8619,0.0000
4,VE_15,VE_19,0.0000,1.1987,-0.3226,0.0000
5,VE_15,VE_20,0.0000,1.6840,-0.8118,0.0000
6,VE_15,VE_21,0.0000,-1.6173,-0.5415,0.0000
7,VE_15,VE_22,0.0000,1.4317,-0.0232,0.0000
8,VE_15,VE_23,0.0000,-9.0388,0.0206,0.0000
9,VE_15,VE_24,0.0000,1.3275,0.4938,0.0000
10,VE_15,VE_25,0.0000,-9.3216,0.1718,0.1371
11,VE_15,VE_26,0.0000,1.4197,-0.0070,0.0000
12,VE_15,VE_27,0.5176,1.3119,1.1873,0.6203
13,VE_15,VE_28,0.1357,1.2324,0.9694,0.2834
14,VE_15,VE_29,0.0000,1.3225,0.4483,0.0000
15,VE_15,VE_30,0.0000,1.2143,0.9311,0.0000
16,VE_15,VE_31,0.0000,2.3566,-0.2551,0.0000
17,VE_15,VE_32,0.0000,-1.2374,-0.0931,0.0000
18,VE_16,VE_17,0.5571,-0.6103,0.0829,0.5571
19,VE_16,VE_18,0.0000,-8.6568,-0.6858,0.0000
20,VE_16,VE_19,0.0000,-9.2818,-0.2556,0.0000
21,VE_16,VE_20,1.0000,1.5257,1.8045,1.0000
22,VE_16,VE_21,0.0000,1.4009,0.2216,0.0000
23,VE_16,VE_22,0.0000,-9.3074,-0.9209,0.0000
24,VE_16,VE_23,0.0000,-8.8465,-1.1262,0.0000
25,VE_16,VE_24,0.8350,-1.5438,0.2372,0.8350
26,VE_16,VE_25,0.0000,-9.4956,-0.0899,0.0000
27,VE_16,VE_26,0.0000,1.8815,-0.3182,0.0000
28,VE_16,VE_27,0.2160,1.4180,0.7613,0.3919
29,VE_16,VE_28,0.0000,-9.5067,-0.3909,0.0000
30,VE_16,VE_29,0.5416,-1.7300,0.3800,0.5416
31,VE_16,VE_30,0.0000,-9.2023,-0.0826,0.0000
32,VE_16,VE_31,0.8103,2.6166,0.4340,0.8103
33,VE_16,VE_32,0.0000,1.3246,-0.3359,0.0000
34,VE_17,VE_18,0.0000,-8.6493,-0.3988,0.0000
35,VE_17,VE_19,0.0000,-9.1942,-0.4030,0.0000
36,VE_17,VE_20,0.0000,2.7295,-0.6842,0.0000
37,VE_17,VE_21,0.0000,2.3906,-0.4455,0.0000
38,VE_17,VE_22,0.0000,-9.3950,-0.0545,0.0000
39,VE_17,VE_23,0.0000,-9.5137,0.4038,0.0000
40,VE_17,VE_24,1.0000,-1.5201,0.5630,1.0000
41,VE_17,VE_25,0.0595,-9.1715,0.3157,0.2038
42,VE_17,VE_26,0.2330,1.3828,1.5282,0.2426
43,VE_17,VE_27,0.0000,2.5547,-0.2036,0.0000
44,VE_17,VE_28,0.0000,-9.1957,-0.1118,0.0000
45,VE_17,VE_29,0.0000,-1.1650,0.1465,0.7987
46,VE_17,VE_30,0.0000,-8.4168,-0.7153,0.0000
47,VE_17,VE_31,0.0000,3.4021,-0.2243,0.0000
48,VE_17,VE_32,0.0000,1.2501,0.5393,0.0000
49,VE_18,VE_19,0.0000,6.4697,-0.2201,0.0000
50,VE_18,VE_20,0.0000,3.5215,-0.1801,0.0000
51,VE_18,VE_21,0.0000,-8.8692,-0.4525,0.0000
52,VE_18,VE_22,0.0887,3.4047,0.2783,0.1031
53,VE_18,VE_23,0.0000,4.3647,-0.4300,0.0000
54,VE_18,VE_24,0.0000,-7.6248,-0.3342,0.0000
55,VE_18,VE_25,0.0000,3.5299,-0.3637,0.0000
56,VE_18,VE_26,0.3478,3.2587,1.9902,0.5141
57,VE_18,VE_27,0.0000,6.8359,-0.4014,0.0000
58,VE_18,VE_28,0.0000,-7.5287,-0.1899,0.0000
59,VE_18,VE_29,0.0000,-7.5871,-0.5174,0.0000
60,VE_18,VE_30,0.0000,-7.6248,-0.1545,0.0000
61,VE_18,VE_31,0.0000,1.9670,0.4027,0.0000
62,VE_18,VE_32,0.0000,-4.0425,-0.8104,0.0000
63,VE_19,VE_20,0.0000,7.6371,-0.5096,0.0000
64,VE_19,VE_21,0.0000,7.1579,-0.6679,0.0000
65,VE_19,VE_22,0.0000,2.8567,-0.8310,0.0000
66,VE_19,VE_23,0.0000,1.1253,0.1868,0.0000
67,VE_19,VE_24,0.0000,-4.5245,-0.8136,0.0000
68,VE_19,VE_25,0.2749,1.5399,0.3402,0.4264
69,VE_19,VE_26,0.0000,5.8130,0.0390,0.0000
70,VE_19,VE_27,0.0000,2.3861,-0.3058,0.0000
71,VE_19,VE_28,0.0000,6.0184,0.0912,0.0000
72,VE_19,VE_29,0.0000,-4.5065,-0.8301,0.0000
73,VE_19,VE_30,0.0000,7.0846,-0.0785,0.0000
74,VE_19,VE_31,0.0000,2.3620,-0.4948,0.0000
75,VE_19,VE_32,0.0000,1.2274,-0.2395,0.0000
76,VE_20,VE_21,0.1900,2.1877,-0.2224,0.0000
